loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),deviceOrientation(Z)
1,116345.394209917,-0.013580322265625,-0.003326416015625,-1.00289916992188,116345.382277917,0.010475277831718,0.060627128531763,0.007923703191313,116345.377333917,-1.80507112618398,-0.023555591962868,0.008596766083646,0.000512952916324,0.041508618742228,-0.00201846845448,0.001732476055622,0.00800156686455,-0.00272524356842,-0.00658091949299,-0.010671101510525,-0.784870207309723,0.61953341960907,-0.023552542552352,-0.00859666056931,-0.999685645103455,0,0,0,-1,5
2,116345.453875125,-0.015655517578125,-0.006790161132813,-0.996612548828125,116345.451891125,0.013705425917875,-0.008755674715854,0.011891546899422,116345.446947125,-1.80534871503052,-0.022811358446494,0.008575460748247,0.001934518106282,-0.006545018404722,0.000932899303734,0.004467476159334,0.002975380048156,0.004143357276917,-0.006296904291958,-0.010431327857077,-0.78495854139328,0.619428515434265,-0.022808540612459,-0.008575355634093,-0.999703049659729,0,0,0,-1,5
3,116345.513537125,-0.02044677734375,-0.003433227539063,-1.01107788085938,116345.486712125,0.010726680238621,0.008338357373038,0.015154451866987,116345.481738125,-1.80531131361534,-0.022866551468073,0.008557136007114,-0.000140351243317,-0.001191532006487,0.003076476976275,0.004690503701568,0.003643702715635,-0.008308887481689,-0.006324048154056,-0.01044134888798,-0.784946739673615,0.619442939758301,-0.022863721475005,-0.008557031862438,-0.999701976776123,0,0,0,-1,5
4,116345.573199125,-0.0211181640625,-0.003326416015625,-0.995315551757812,116345.556322125,0.011747469884449,0.004065581720115,0.013003949286748,116345.551348125,-1.80505016919869,-0.022825973601098,0.008515069393812,-0.000142214819789,-0.002250937512144,0.000930235721171,0.001216718927026,0.004685011692345,0.003823101520538,-0.00631979200989,-0.010413097217679,-0.784865915775299,0.619545996189117,-0.022823164239526,-0.00851496681571,-0.999703228473663,0,0,0,-1,5
5,116345.632891125,-0.02197265625,-0.006362915039063,-1.00566101074219,116345.625933125,0.011714180370823,0.000873516837546,0.010846522487675,116345.620959125,-1.8052813238288,-0.022751741978817,0.008544319293227,-9.88058745861053E-05,-0.001170759438537,-0.003345469012856,0.001371385529637,0.000930078327656,0.00243604183197,-0.006282801739872,-0.010400854051113,-0.784937798976898,0.619455456733704,-0.0227489490062,-0.008544215001166,-0.999704718589783,0,0,0,-1,5
6,116345.692553125,-0.016082763671875,0.003814697265625,-0.993560791015625,116345.660723125,0.017051155195341,0.001854092750913,0.015195997179992,116345.690539125,-1.80515627772784,-0.02279503985055,0.008487795780675,0.001709480769932,-0.0204176902771,0.004071168601513,0.001857185736299,0.023761741816998,-0.006612956523895,-0.006316654849797,-0.010392477735877,-0.784898817539215,0.619504570960999,-0.022792244330049,-0.008487693965435,-0.99970418214798,0,0,0,-1,5
7,116345.752215125,-0.018707275390625,-0.012527465820313,-1.00859069824219,116345.730334125,0.010714163381498,0.00515667881872,0.009786051741605,116345.725359125,-1.80513820456464,-0.022853747458991,0.008522846128612,0.002080991864204,0.001996005419642,-0.002233332954347,0.008004125207663,-0.002478843554854,-0.011558413505554,-0.006328742485493,-0.010424474254251,-0.784893095493317,0.619511127471924,-0.02285092882812,-0.008522743359208,-0.999702572822571,0,0,0,-1,5
8,116345.811877125,-0.018173217773438,-0.01458740234375,-1.00607299804688,116345.799944125,0.013811686045369,-0.003410177775846,0.007638212322456,116345.794970125,-1.80526441418469,-0.022690621834535,0.008625567575248,0.005414204671979,0.009424094110727,-0.00429728301242,0.006574548780918,-0.001933621242642,0.003642141819,-0.006233557127416,-0.01041386090219,-0.784932911396027,0.619462013244629,-0.022687830030918,-0.008625460788608,-0.999705374240875,0,0,0,-1,5
9,116345.871539125,-0.023635864257813,0.002471923828125,-1.00299072265625,116345.869555125,0.007468302644909,0.004123105999661,0.012953881858255,116345.864581125,-1.80510364073797,-0.022830107279901,0.008469962195529,-0.002164886333048,0.005245594773442,-0.000125974416733,0.00199905782938,0.005952160805464,-0.0016850233078,-0.00633566826582,-0.01039650849998,-0.784882366657257,0.619525134563446,-0.022827304899693,-0.008469861000776,-0.999703526496887,0,0,0,-1,5
10,116345.931200125,-0.02044677734375,-0.00177001953125,-1.002197265625,116345.904375125,0.012782107967944,-0.000200269713974,0.008712797822303,116345.899371125,-1.805160076036,-0.022804445758207,0.008439357035734,0.000908135436475,-0.005450459197164,-0.003355323337018,-0.003321390599012,0.013123705051839,0.004037857055664,-0.006335370242596,-0.010376370511949,-0.784899890422821,0.619503438472748,-0.022801658138633,-0.008439256809652,-0.999704360961914,0,0,0,-1,5
